GEO_ID,NAME,MEDIAN_INCOME
0500000US26095,Luce County,45
0500000US26097,Mackinac County,60
0500000US26099,Macomb County,737
0500000US26101,Manistee County,87
0500000US26103,Marquette County,262
0500000US26105,Mason County,97
0500000US26107,Mecosta County,174
0500000US26109,Menominee County,95
0500000US26111,Midland County,233
0500000US26113,Missaukee County,30
0500000US26115,Monroe County,297
0500000US26117,Montcalm County,319
0500000US26119,Montmorency County,65
0500000US26121,Muskegon County,311
0500000US26123,Newaygo County,104
0500000US26125,Oakland County,935
0500000US26127,Oceana County,71
0500000US26129,Ogemaw County,56
0500000US26131,Ontonagon County,28
0500000US26133,Osceola County,49
0500000US26135,Oscoda County,57
0500000US26137,Otsego County,114
0500000US26139,Ottawa County,571
0500000US26141,Presque Isle County,58
0500000US26143,Roscommon County,89
0500000US26145,Saginaw County,345
0500000US26147,St. Clair County,251
0500000US26149,St. Joseph County,193
0500000US26151,Sanilac County,119
0500000US26153,Schoolcraft County,68
0500000US26155,Shiawassee County,118
0500000US26157,Tuscola County,119
0500000US26159,Van Buren County,171
0500000US26161,Washtenaw County,669
0500000US26163,Wayne County,1040
0500000US26165,Wexford County,118
0500000US53001,Adams County,134
0500000US53003,Asotin County,98
0500000US53005,Benton County,365
0500000US53007,Chelan County,230
0500000US53009,Clallam County,165
0500000US53011,Clark County,611
0500000US53013,Columbia County,47
0500000US53015,Cowlitz County,237
0500000US53017,Douglas County,216
0500000US53019,Ferry County,50
0500000US53021,Franklin County,345
0500000US53023,Garfield County,27
0500000US53025,Grant County,379
0500000US53027,Grays Harbor County,160
0500000US53029,Island County,220
0500000US53031,Jefferson County,71
0500000US53033,King County,1406
0500000US53035,Kitsap County,458
0500000US53037,Kittitas County,319
0500000US53039,Klickitat County,112
0500000US53041,Lewis County,187
0500000US53043,Lincoln County,58
0500000US53045,Mason County,216
0500000US53047,Okanogan County,243
0500000US53049,Pacific County,64
0500000US53051,Pend Oreille County,78
0500000US53053,Pierce County,775
0500000US53055,San Juan County,61
0500000US53057,Skagit County,218
0500000US53059,Skamania County,40
0500000US53061,Snohomish County,724
0500000US53063,Spokane County,670
0500000US53065,Stevens County,127
0500000US53067,Thurston County,425
0500000US53069,Wahkiakum County,39
0500000US53071,Walla Walla County,347
0500000US53073,Whatcom County,610
0500000US53075,Whitman County,409
0500000US53077,Yakima County,528
0500000US55001,Adams County,53
0500000US55003,Ashland County,68
0500000US55005,Barron County,118
0500000US55007,Bayfield County,46
0500000US55009,Brown County,482
0500000US55011,Buffalo County,35
0500000US55013,Burnett County,28
0500000US55015,Calumet County,125
0500000US55017,Chippewa County,159
0500000US55019,Clark County,83
0500000US55021,Columbia County,163
0500000US55023,Crawford County,57
0500000US55025,Dane County,864
0500000US55027,Dodge County,212
0500000US55029,Door County,144
0500000US55031,Douglas County,136
0500000US55033,Dunn County,178
0500000US55035,Eau Claire County,360
0500000US55037,Florence County,11
